Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender
Yalangi Ramesh,IND,0,Post Graduate,50,170000,AMALAPURAM,25000,0.0,M
Muttamsetti Srinivasa Rao,TDP,1,Illiterate,47,213294327,ANAKAPALLE,64899193,0.0,M
Appalaraju Sadaram,IND,0,Graduate,60,31500,ANAKAPALLE,0,0.0,M
Avss Amarnadh Gudivada,Yuvajana Sramika Rythu Congress Party,6,Graduate Professional,29,60211000,ANAKAPALLE,1625000,0.0,M
Kondaraju Jampana,Jai Samaikyandhra Party,0,12th Pass,47,4121000,ANAKAPALLE,0,0.0,M
Sarisa Leela Prasanna Kumari,Pyramid Party of India,0,8th Pass,0,370000,ANAKAPALLE,0,0.0,M
Smt. Thota Vijaya Lakshmi,INC,0,Post Graduate,44,57324010,ANAKAPALLE,4098674,0.0,M
Tirupathi Rao Karanam,BSP,1,Graduate Professional,46,6151000,ANAKAPALLE,0,0.0,M
Vadlamuri Krishna Swaroop,Dalita Bahujana Party,0,Post Graduate,41,,ANAKAPALLE,0,0.0,M
Jutur Chinna Reddy Divakar Reddy,TDP,0,12th Pass,70,226481020,ANANTAPUR,3265000,0.0,M
Anantha Venkata Rami Reddy,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,57,26301000,ANANTAPUR,0,0.0,M
Bandaru Srinivasulu,IND,0,Not Given,47,,ANANTAPUR,0,0.0,M
Boya Anil Kumar,Jai Samaikyandhra Party,0,8th Pass,26,605000,ANANTAPUR,300000,0.0,M
Bujji Reddy Venugopal Reddy,Indian Christian Secular Party,0,Post Graduate,53,1331648,ANANTAPUR,117705,0.0,M
Deshmukh Somanath,IND,0,10th Pass,46,5063528,ANANTAPUR,1200000,0.0,M
G Lalitha,SUCI(C),1,Graduate Professional,51,58683,ANANTAPUR,0,0.0,M
Gujjala Nagaraju,IND,0,10th Pass,37,52846700,ANANTAPUR,0,0.0,M
K.Nagaraju,BSP,0,10th Pass,40,1280000,ANANTAPUR,0,0.0,M
P. Anil Chowdary,INC,0,Graduate,46,10240000,ANANTAPUR,1395000,0.0,M
Pavan Kumar,Pyramid Party of India,0,Graduate,27,50000,ANANTAPUR,0,0.0,M
Shaik. Mohammad Shafi,IND,0,Post Graduate,54,14386694,ANANTAPUR,1760200,0.0,M
T. Kuldeep Choudary,Samaikya Telugu Rajyam,0,Graduate Professional,60,91331000,ANANTAPUR,636000,0.0,M
Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,43,65147467,ARAKU,43261606,0.0,M
Biddika Ramayya,IND,0,Literate,52,15500,ARAKU,15000,0.0,M
Boorjabariki Dhanaraju,AAP,0,Graduate,33,52000,ARAKU,0,0.0,M
Gummidi Sandhya Rani,TDP,0,Graduate,41,2587354,ARAKU,0,0.0,M
Illa Ramireddy,IND,0,5th Pass,60,310000,ARAKU,0,0.0,M
Kangala Baludora,IND,0,5th Pass,59,650000,ARAKU,0,0.0,M
Kishore Chandra Suryanarayana Deo Vyricherla,INC,0,Post Graduate,67,41503500,ARAKU,0,0.0,M
Midiyam Baburao,CPI(M),0,Graduate Professional,63,2230750,ARAKU,0,0.0,M
Sallangi Ratnam,IND,0,Graduate,35,1485000,ARAKU,0,0.0,M
Sankara Rao Chetti,IND,0,Post Graduate,33,40150,ARAKU,0,0.0,M
Sankara Rao Vanugu,IND,0,Doctorate,39,612528,ARAKU,0,0.0,M
Malyadri Sriram,TDP,0,Post Graduate,60,45359744,BAPATLA,0,0.0,M
Bandela Nageswara Rao,IND,0,10th Pass,31,40000,BAPATLA,0,0.0,M
Eda Chennaiah,AAP,0,Others,39,60000,BAPATLA,50000,0.0,M
Gadde Thyagaraju,IND,0,Graduate,0,1185000,BAPATLA,100000,0.0,M
Gogulamudi Narasimha Rao,IND,0,10th Pass,34,1262200,BAPATLA,733400,0.0,M
Golla Babu Rao,IND,0,Post Graduate,0,155000,BAPATLA,0,0.0,M
Nakkala Veeranjaneyulu,IND,0,Post Graduate,39,190000,BAPATLA,0,0.0,M
Panabaka Lakshmi,INC,0,Post Graduate,56,65782130,BAPATLA,1682000,0.0,M
Perli Prasanna Deevena Kumar,Indian Labour Party (Ambedkar Phule),1,Post Graduate,48,1277000,BAPATLA,435000,0.0,M
Philipu Dwarapalli,BSP,0,Graduate Professional,45,50000,BAPATLA,0,0.0,M
Ratnababu Mamidi,IND,0,Post Graduate,29,95240,BAPATLA,0,0.0,M
Rayapati David Wilson,Jai Samaikyandhra Party,0,Graduate Professional,47,2460000,BAPATLA,150000,0.0,M
Varikuti Amruthapani,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,54,52633913,BAPATLA,14662335,0.0,M
Yellamati Ramesh,Pyramid Party of India,0,10th Pass,25,71000,BAPATLA,0,0.0,M
Naramalli Sivaprasad,TDP,0,Graduate Professional,62,14878003,CHITTOOR,0,0.0,M
B Rajagopal,INC,0,Doctorate,64,20322000,CHITTOOR,100000,0.0,M
C S Udaya,Pyramid Party of India,0,Post Graduate,34,546700,CHITTOOR,0,0.0,M
D.Jithendra Kumar,BSP,0,Graduate,38,500500,CHITTOOR,0,0.0,M
Gandavarapu Samanya,Yuvajana Sramika Rythu Congress Party,0,Doctorate,35,29254634,CHITTOOR,337949,0.0,M
P Pushpa Raj,Jai Samaikyandhra Party,0,Graduate Professional,57,841732,CHITTOOR,0,0.0,M
S Anjappa,IND,0,10th Pass,43,1360000,CHITTOOR,2500000,0.0,M
Venkateswara Rao Maganti,TDP,2,10th Pass,54,129394729,ELURU,55294433,0.0,M
C.V.Sarada Devi,IND,0,Graduate,53,3120000,ELURU,400000,0.0,M
Juluri Bhaskara Veera Venkata Anil Kumar Gupta,IND,1,12th Pass,34,2741859,ELURU,0,0.0,M
Kamarushi Veera Venkata Satyanarayana,Jai Samaikyandhra Party,0,5th Pass,68,5968041,ELURU,980000,0.0,M
Korukonda Vijaya Lakshmi Pandit,IND,0,12th Pass,50,10318671,ELURU,0,0.0,M
Mendem Santosh Kumar,Indian Labour Party (Ambedkar Phule),0,Not Given,39,60000,ELURU,0,0.0,M
Musunuri Nageswara Rao,INC,0,8th Pass,61,17420000,ELURU,0,0.0,M
Nagaraju Savanapudi,Marxist Communist Party of India (United),0,Illiterate,55,300000,ELURU,0,0.0,M
Nannapaneni Gangadhara Rao,IND,0,Graduate,65,1702308,ELURU,0,0.0,M
Ramesh Babu Netala,BSP,0,Graduate,51,734000,ELURU,0,0.0,M
Thota Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,0,Doctorate,52,43410500,ELURU,0,0.0,M
Uda Venkateswararao,IND,0,Post Graduate,48,1380000,ELURU,1000000,0.0,M
Venkata Rama Rao Uppala,Pyramid Party of India,0,10th Pass,47,3923000,ELURU,0,0.0,M
Vijaya Kumari Govada,Prem Janata Dal,0,10th Pass,38,60000,ELURU,0,0.0,M
Yantrapati Ashok,Mahajana Socialist Party,0,Graduate,52,,ELURU,0,0.0,M
Jayadev Galla,TDP,0,Graduate,48,6830581361,GUNTUR,202334283,0.0,M
Abburi Koteswara Rao,Pyramid Party of India,0,10th Pass,49,17620000,GUNTUR,3800000,0.0,M
Abdul Waheed Shaik,INC,0,10th Pass,44,7654500,GUNTUR,7000000,0.0,M
Arudala Venkateswara Rao,IND,0,5th Pass,41,400000,GUNTUR,50000,0.0,M
Balashowry Vallabhaneni,Yuvajana Sramika Rythu Congress Party,0,Graduate,45,794017805,GUNTUR,483766785,0.0,M
Bitra Venkata Sivannarayana,IND,0,10th Pass,36,7663330,GUNTUR,712920,0.0,M
Emani Chandra Sekhar Rao,Navodyam Party,0,Graduate,47,135000,GUNTUR,0,0.0,M
Kata Venkata Bhavani Veera Vara Prasad,AAP,0,Post Graduate,44,22350000,GUNTUR,2350000,0.0,M
Koutharapu Ravindra,Great India Party,2,Graduate Professional,0,38861445,GUNTUR,20591835,0.0,M
Mallela Babu Rao,BSP,0,Post Graduate,60,6413204,GUNTUR,1062915,0.0,M
Mallela Venkata Rao,Jai Samaikyandhra Party,0,12th Pass,48,6907000,GUNTUR,1350000,0.0,M
Udaia Kumar Musuku,Indian Christian Secular Party,0,Post Graduate,57,442624916,GUNTUR,954406,0.0,M
Kristappa Nimmala,TDP,2,Graduate,57,40793638,HINDUPUR,998480,0.0,M
Amudala Subramanyam,Rayalaseema Parirakshana Samithi,0,Post Graduate,0,745000,HINDUPUR,110000,0.0,M
Appireddygari Konda Reddy,IND,0,12th Pass,41,155000,HINDUPUR,0,0.0,M
C.Anand Kumar,Pyramid Party of India,0,Post Graduate,28,120000,HINDUPUR,0,0.0,M
Chinta Sarath Kumar Reddy,IND,0,Graduate,31,1285000,HINDUPUR,870000,0.0,M
Deshmukh Somnath,IND,0,12th Pass,46,5063528,HINDUPUR,1200000,0.0,M
Duddukunta Sreedhar Reddy,Yuvajana Sramika Rythu Congress Party,0,Graduate,43,420913035,HINDUPUR,34291359,0.0,M
Gutturu Chinna Venkataramudu,INC,1,10th Pass,54,3320000,HINDUPUR,200000,0.0,M
K.M. Asadulla,IND,0,Post Graduate,61,4125958,HINDUPUR,540000,0.0,M
K.M.Shameer Basha,Jai Samaikyandhra Party,0,Graduate,39,780000,HINDUPUR,0,0.0,M
K.Pedda Reddi,IND,3,10th Pass,48,33018797,HINDUPUR,9883924,0.0,M
M.Sudhakar Naidu,IND,0,12th Pass,43,5883944,HINDUPUR,597451,0.0,M
Avinash Reddy Yeduguri Sandinti,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,29,70480623,KADAPA,5547296,0.0,M
Gajjala Rama Subba Reddy,Pyramid Party of India,0,10th Pass,61,535800,KADAPA,0,0.0,M
Lakshmi Reddy Putta,AIFB,3,Graduate Professional,26,7500000,KADAPA,4733000,0.0,M
M. Hanumantha Reddy,BSP,0,12th Pass,35,5613000,KADAPA,2000000,0.0,M
Poreddy Prabhakar Reddy,IND,3,10th Pass,48,31312193,KADAPA,3808810,0.0,M
Pullaiah Byri,Ambedkar National Congress,1,10th Pass,65,280000,KADAPA,0,0.0,M
Sajid Hussain,AAP,0,12th Pass,50,54632098,KADAPA,10840808,0.0,M
Shaik Ghouse Peer,Jai Samaikyandhra Party,0,Graduate Professional,52,13929207,KADAPA,670425,0.0,M
Shobarani Varadi,Dalita Bahujana Party,0,8th Pass,42,863200,KADAPA,69000,0.0,M
Srinivasa Reddy Reddeppagari,TDP,0,12th Pass,46,497543411,KADAPA,100208035,0.0,M
Veena Ajaya Kumar,INC,0,Graduate Professional,51,1769300,KADAPA,0,0.0,M
Veera Anil Kumar Reddy Gandluru,JD(S),0,Graduate Professional,40,13621087,KADAPA,300000,0.0,M
Venugopal Rachineni,Rashtriya Praja Congress (Secular),1,Not Given,36,1830795,KADAPA,85435,0.0,M
Yellipalem Ramesh Reddy,JD(U),0,10th Pass,46,42730000,KADAPA,14000000,0.0,M
Thota Venkata Narasimham,TDP,0,Graduate,53,17495976,KAKINADA,120000,0.0,M
Arjunarao Yegupati,CPI(ML)L,1,5th Pass,57,620000,KAKINADA,21000,0.0,M
Chaganti Suryanarayana Murty,IND,0,10th Pass,49,99344,KAKINADA,0,0.0,M
Donam Neelakantam,IND,0,Post Graduate,43,651495,KAKINADA,65000,0.0,M
Donka Leelavathi,IND,0,5th Pass,62,50000,KAKINADA,0,0.0,M
Guttula Annapurna Seshagiri Rao,IND,0,5th Pass,55,,KAKINADA,0,0.0,M
Jalluri Venkateswarlu,IND,0,Graduate Professional,47,141000,KAKINADA,0,0.0,M
Kola Venkata Prasad Varma,RJD,0,10th Pass,48,1000,KAKINADA,0,0.0,M
Kunche Ramadas,IND,0,Post Graduate,69,202000,KAKINADA,0,0.0,M
Mangapati Pallam Raju Mallipudi,INC,0,Post Graduate,51,113518442,KAKINADA,3330358,0.0,M
Merla Bhavani Sankara Prasad,IND,0,5th Pass,52,2700000,KAKINADA,950000,0.0,M
Motha Sarada,Republican Party of India (Khobragade),0,10th Pass,33,,KAKINADA,0,0.0,M
Pepakayala Rajendra,IND,0,Graduate,48,5110000,KAKINADA,800000,0.0,M
Prabhakara Rao Madiki,IND,0,Post Graduate,45,1350000,KAKINADA,112550,0.0,M
Ratna Kumar Muthabathula,BSP,0,12th Pass,37,154000,KAKINADA,0,0.0,M
Rokkam Dayakar,Republican Paksha (Khoripa),1,Post Graduate,45,1500000,KAKINADA,0,0.0,M
Srinivas Dangeti,AAP,0,Graduate Professional,44,14271000,KAKINADA,0,0.0,M
Sunil Kumar Chalamalasetty,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,44,101992671,KAKINADA,18930000,0.0,M
Tekumudi Venkata Rao,Pyramid Party of India,0,Literate,55,1599555,KAKINADA,428000,0.0,M
Tummalapalli Satya Ramakrishna,Jai Samaikyandhra Party,1,Graduate,38,16322137,KAKINADA,1282773,0.0,M
Venkata Appala Narasimha Rao Karra,IND,0,Graduate Professional,45,3041950,KAKINADA,314257,0.0,M
Vijamalla Chitti Babu,IND,1,Graduate,41,45000,KAKINADA,0,0.0,M
Butta Renuka,Yuvajana Sramika Rythu Congress Party,1,10th Pass,42,2426240513,KURNOOL,312279927,0.0,M
Bendula Thirumala Naidu,TDP,0,Post Graduate,42,16375000,KURNOOL,500000,0.0,M
D.Chand Basha,IND,0,Post Graduate,37,5717000,KURNOOL,0,0.0,M
Dande Yugander,IND,0,10th Pass,45,135654625,KURNOOL,40047000,0.0,M
Elia Nagella,Welfare Party Of India,0,Post Graduate,76,735000,KURNOOL,0,0.0,M
Gajula Jakeer Hussain,Jai Samaikyandhra Party,0,Graduate,35,1585000,KURNOOL,60000,0.0,M
Kirankumar Vissa,AAP,0,Post Graduate,40,5414312,KURNOOL,0,0.0,M
Kondiparthi Venkat Prasad,RPI,0,Graduate,37,9557285,KURNOOL,1300000,0.0,M
Kothuru Satyanarayana Gupta,IND,0,Post Graduate,47,3087000,KURNOOL,560000,0.0,M
Kotla Jaya Surya Prakash Reddy,INC,0,Graduate,62,48182614,KURNOOL,3000000,0.0,M
Mallikal,BSP,0,Graduate,43,1454000,KURNOOL,18000,0.0,M
Noor Ahmed Madani,Socialistic Democratic Party,0,Post Graduate,55,370000,KURNOOL,0,0.0,M
Konakalla Narayana Rao,TDP,0,12th Pass,64,34850000,MACHILIPATNAM,9800000,0.0,M
Jampana Srinivasa Goud,IND,1,10th Pass,48,1372180,MACHILIPATNAM,212000,0.0,M
Kammili Srinivas,Jai Samaikyandhra Party,0,Graduate Professional,42,499399880,MACHILIPATNAM,22800000,0.0,M
Kolusu Partha Sarathy,Yuvajana Sramika Rythu Congress Party,6,12th Pass,48,59930668,MACHILIPATNAM,3851887,0.0,M
Mohammad Ishaq,IND,0,10th Pass,41,11149954,MACHILIPATNAM,5133921,0.0,M
Parasa Srinivasa Rao,IND,1,10th Pass,35,368316,MACHILIPATNAM,140000,0.0,M
Peggam Prasada Rao,BSP,0,Post Graduate,37,870000,MACHILIPATNAM,0,0.0,M
Sistla Ramesh,INC,0,Graduate Professional,51,11000000,MACHILIPATNAM,300000,0.0,M
Vadapalli Raghunadh,Pyramid Party of India,0,Graduate,63,1570000,MACHILIPATNAM,223000,0.0,M
Yarlagadda Rama Mohana Rao,IND,0,12th Pass,51,10672000,MACHILIPATNAM,3210000,0.0,M
Yenduri Subramanyeswara Rao,IND,0,10th Pass,55,820000,MACHILIPATNAM,0,0.0,M
S.P.Y Reddy,Yuvajana Sramika Rythu Congress Party,2,Graduate Professional,64,219577179,NANDYAL,1077820,0.0,M
B.Y.Ramaiah,INC,0,Post Graduate,48,5279000,NANDYAL,630000,0.0,M
G. Balaswamy,IND,2,Doctorate,42,4639275,NANDYAL,350000,0.0,M
I V Pakkir Reddy,IND,0,Graduate,66,6776465,NANDYAL,0,0.0,M
Kommusani Pedda Kambagiriswami,IND,0,10th Pass,33,370000,NANDYAL,0,0.0,M
M Ramana Reddy,IND,0,8th Pass,50,320000,NANDYAL,0,0.0,M
Mallikarjuna Reddy Nossam,Jai Samaikyandhra Party,0,Post Graduate,30,3109500,NANDYAL,2075000,0.0,M
Nashyam Mohammad Farook,TDP,4,10th Pass,62,31599109,NANDYAL,0,0.0,M
Obulesu Thudum,BSP,0,Post Graduate,38,1590000,NANDYAL,150000,0.0,M
P V N Reddy,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,36,182000,NANDYAL,0,0.0,M
Pichika Narendra Dev,IND,0,10th Pass,49,151000,NANDYAL,0,0.0,M
Pidisala Vijay Kumar,IND,0,Others,37,325500,NANDYAL,930000,0.0,M
Ullagi David Jaya Kumar,AAP,0,Doctorate,56,229000,NANDYAL,140000,0.0,M
Vangala Sreenivasa Reddy,IND,1,Graduate,0,5050000,NANDYAL,650000,0.0,M
Rayapati Sambasiva Rao,TDP,2,Graduate,70,595838093,NARASARAOPET,56263516,0.0,M
Akki Reddy Bhimanadula,Pyramid Party of India,0,10th Pass,33,644500,NARASARAOPET,0,0.0,M
Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,50,6543381756,NARASARAOPET,604035456,0.0,M
Jangala Singaraiah,IND,0,10th Pass,38,2181102,NARASARAOPET,112625,0.0,M
Kanumuri Koteswara Rao,IND,0,Graduate,45,20000,NARASARAOPET,0,0.0,M
Kondapalli Venkateswarlu,INC,0,Graduate Professional,58,69781168,NARASARAOPET,9723000,0.0,M
Mekala Hanumantha Rao Yadav,BSP,4,Post Graduate,35,2301000,NARASARAOPET,0,0.0,M
Ramesh Paruvuri,IND,0,Illiterate,29,60000,NARASARAOPET,0,0.0,M
Ravu Subrahmanyam,IND,0,Graduate,37,177000,NARASARAOPET,0,0.0,M
Sivaparapu Rosaiah,Marxist Communist Party of India (United),0,Graduate,42,197000,NARASARAOPET,0,0.0,M
Yeluri Srilatha,Jai Samaikyandhra Party,0,Graduate,28,3782979,NARASARAOPET,600000,0.0,M
Gokaraju Ganga Raju,BJP,1,Graduate,69,2883567122,NARSAPURAM,168501286,0.0,M
Badampudi Siva,IND,0,Graduate,27,40000,NARSAPURAM,0,0.0,M
Chintapalli Kanaka Rao,BSP,0,Post Graduate,55,1225000,NARSAPURAM,2000000,0.0,M
Gitadas Das W/O Hariharadas Das,Prem Janata Dal,0,8th Pass,28,147000,NARSAPURAM,0,0.0,M
Kanumuri Bapiraju S/O. Krishnam Raju,INC,0,12th Pass,66,92784471,NARSAPURAM,5569281,0.0,M
Medapati Varahala Reddy,IND,0,Others,38,6800000,NARSAPURAM,15000,0.0,M
Nalli Rajesh,Republican Paksha (Khoripa),1,Others,31,395000,NARSAPURAM,0,0.0,M
"Polasapalli Saroja,",Jai Samaikyandhra Party,6,Post Graduate,33,67265000,NARSAPURAM,350000,0.0,M
Sekhar Babu Dorababu Addanki,IND,0,10th Pass,44,230000,NARSAPURAM,0,0.0,M
Sivaji Gottumukkala,IND,0,Post Graduate,45,6362000,NARSAPURAM,250000,0.0,M
Svpkh Gopala Krishnam Raju S/O. Venkathiraju,Pyramid Party of India,0,Post Graduate,48,59250056,NARSAPURAM,8200000,0.0,M
Vangalapudi Yeshayya,IND,0,5th Pass,40,732000,NARSAPURAM,0,0.0,M
Vanka Ravindranath S/O Satyanarayana,Yuvajana Sramika Rythu Congress Party,0,12th Pass,53,1267907245,NARSAPURAM,0,0.0,M
Voleti Venkata Lakshmana Rao,IND,0,Post Graduate,49,13474087,NARSAPURAM,1318000,0.0,M
Mekapati Rajamohan Reddy,Yuvajana Sramika Rythu Congress Party,2,Graduate Professional,69,361746068,NELLORE,0,0.0,M
Adala Prabhakara Reddy,TDP,0,12th Pass,64,1282585640,NELLORE,131646350,0.0,M
Ananda Rao Sompalli,IND,1,Graduate,52,7813000,NELLORE,0,0.0,M
Cchemikala Tirupati,Andhra Rastra Praja Samithi,0,Illiterate,43,,NELLORE,0,0.0,M
Chandra Sekhar Yadav Muchakala,Rajyadhikara Party,0,Post Graduate,45,750000,NELLORE,0,0.0,M
Kolati Gopinath,Pyramid Party of India,0,Graduate Professional,33,2272624,NELLORE,0,0.0,M
Malli Venkateswarlu,IND,0,12th Pass,39,5482100,NELLORE,0,0.0,M
Malyadri Ravulakollu,IND,0,Post Graduate,31,500,NELLORE,0,0.0,M
Meda Malla Reddy,IND,0,5th Pass,63,1382000,NELLORE,0,0.0,M
Panditi Subbaiah,IND,0,10th Pass,42,135000,NELLORE,0,0.0,M
Pattapu Ravi,BSP,0,Post Graduate,56,11400123,NELLORE,1725000,0.0,M
Sukpalli Naveen,IND,0,Graduate Professional,27,26002,NELLORE,0,0.0,M
Syed Haneef,Jai Samaikyandhra Party,2,Post Graduate,43,48073859,NELLORE,4539500,0.0,M
Vakati Narayana Reddy,INC,0,Graduate,51,2513866365,NELLORE,459322369,0.0,M
Yarram Venkata Subbareddy,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,53,735451548,ONGOLE,240557614,0.0,M
Battu Balajee Rao,IND,0,10th Pass,44,1595767,ONGOLE,0,0.0,M
Bellamkonda Venkata Rao,IND,0,5th Pass,46,124000,ONGOLE,52177,0.0,M
Chapala Venkata Rao,IND,0,10th Pass,30,550000,ONGOLE,0,0.0,M
Dama Mohan Rao,IND,0,8th Pass,58,20896812,ONGOLE,0,0.0,M
Darisi Veera Venkata Pavan Kumar @ Darisi Pavana Kumar,INC,0,Graduate Professional,52,464329120,ONGOLE,5708354,0.0,M
Gollapalli Kishore Kumar Reddy,Jai Samaikyandhra Party,0,Post Graduate,35,335000,ONGOLE,0,0.0,M
Kavuri Venu Babu Naidu,IND,2,10th Pass,37,1151500,ONGOLE,950000,0.0,M
Magunta Srinivasulu Reddy,TDP,0,Graduate,60,187848488,ONGOLE,82578365,0.0,M
Mattegunta Kiran Dasaranna,IND,0,Post Graduate,32,77079,ONGOLE,25000,0.0,M
Pammi Venkareddy,Pyramid Party of India,0,12th Pass,39,771307,ONGOLE,0,0.0,M
Pidaparthi Madhu Sudhana Reddy,IND,0,Graduate,34,160000,ONGOLE,0,0.0,M
Sadam Satyanarayana Raja Yadav,AAP,0,Post Graduate,35,29380600,ONGOLE,0,0.0,M
Somisetty Radha Krishna,IND,0,Graduate,43,8043550,ONGOLE,2280000,0.0,M
Vemula Krishna Rao,BSP,0,Graduate Professional,34,100000,ONGOLE,0,0.0,M
Murali Mohan Maganti,TDP,1,12th Pass,73,180822216,RAJAHMUNDRY,12245000,0.0,M
Annamdevula Dharma Rao,IND,0,Illiterate,62,100000,RAJAHMUNDRY,0,0.0,M
Boddu Venkata Ramana Chowdary,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,39,356200864,RAJAHMUNDRY,13796000,0.0,M
Cheekatla Venkateswara Rao,IND,1,Graduate,46,40000,RAJAHMUNDRY,0,0.0,M
Illa Govinda Rajan,IND,0,Others,36,5000,RAJAHMUNDRY,0,0.0,M
Kandula Lakshmi Durgesh Prasad,INC,1,Post Graduate,55,111286820,RAJAHMUNDRY,7865379,0.0,M
Kollabathula Richmond Carey,Gareeb Aadmi Party,0,Graduate,40,1990000,RAJAHMUNDRY,133630,0.0,M
Marre Babji,BSP,0,Post Graduate,47,7260922,RAJAHMUNDRY,2150000,0.0,M
Meda Srinivas,Rashtriya Praja Congress (Secular),4,Graduate Professional,44,21005000,RAJAHMUNDRY,0,0.0,M
Mullapudi Satyanarayana,Jai Samaikyandhra Party,2,Post Graduate,43,5529128,RAJAHMUNDRY,795000,0.0,M
Mutyala Rambabu,IND,0,Graduate,30,1752500,RAJAHMUNDRY,0,0.0,M
Palla Venkata Naidu,IND,0,12th Pass,47,237877,RAJAHMUNDRY,80000,0.0,M
Polu Vengala Reddy,IND,0,12th Pass,66,6530000,RAJAHMUNDRY,0,0.0,M
Srinivasa Rao Sangisetti,Pyramid Party of India,0,5th Pass,47,10640000,RAJAHMUNDRY,500000,0.0,M
P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,36,225984036,RAJAMPET,8183862,0.0,M
Annayyagari Sai Prathap,INC,0,12th Pass,69,11011974,RAJAMPET,4332082,0.0,M
Daggubati Purandeswari,BJP,0,Graduate,54,84841544,RAJAMPET,29610440,0.0,M
G.Mujeeb Hussain,Jai Samaikyandhra Party,0,Graduate,56,39415000,RAJAMPET,1950000,0.0,M
N. Deva,Hindustan Janta Party,0,10th Pass,33,300000,RAJAMPET,0,0.0,M
Nallugari Venkata Subbaiah,BSP,0,Graduate,37,50000,RAJAMPET,0,0.0,M
S Narendra Babu,Mahajana Socialist Party,0,12th Pass,31,115700,RAJAMPET,50000,0.0,M
